id,candidato,fecha
189,3,2019-02-14T18:08:23.253358
190,17,2019-02-14T18:08:27.678551
191,21,2019-02-14T18:09:49.802634
192,3,2019-02-14T18:10:58.386817
193,4,2019-02-14T18:11:51.878280
194,9,2019-02-14T18:11:53.714752
195,4,2019-02-14T18:12:09.056670
196,4,2019-02-14T18:14:08.089935
197,9,2019-02-14T18:23:51.236433
198,9,2019-02-14T18:23:56.090186
199,4,2019-02-14T18:26:38.030240
200,4,2019-02-14T18:26:53.271180
201,17,2019-02-14T18:37:53.531835
202,4,2019-02-14T18:47:00.127581
203,17,2019-02-15T06:45:04.920821
204,16,2019-02-15T15:48:10.854785
205,11,2019-02-15T15:49:15.025493
