id_encuesta,id_pregunta,respuesta
30,1,4
30,2,5
30,3,4
30,4,2
30,5,2
31,1,4
31,2,4
31,3,1
31,4,2
31,5,3
32,1,3
32,2,4
32,3,3
32,4,4
32,5,4
33,1,3
33,2,3
33,3,3
33,4,3
33,5,3
34,1,4
34,2,4
34,3,3
34,4,2
34,5,5
35,1,4
35,2,5
35,3,1
35,4,5
35,5,4
36,1,4
36,2,5
36,3,4
36,4,2
36,5,4
37,1,2
37,2,5
37,3,3
37,4,3
37,5,5
38,1,4
38,2,4
38,3,3
38,4,4
38,5,5
39,1,3
39,2,4
39,3,5
39,4,2
39,5,4
40,1,3
40,2,1
40,3,1
40,4,2
40,5,4
41,1,2
41,2,3
41,3,4
41,4,2
41,5,4
42,1,4
42,2,4
42,3,3
42,4,4
42,5,4
43,1,4
43,2,5
43,3,4
43,4,2
43,5,5
44,1,4
44,2,5
44,3,3
44,4,3
44,5,4
45,1,4
45,2,4
45,3,4
45,4,2
45,5,5
46,1,3
46,2,5
46,3,3
46,4,3
46,5,5
47,1,2
47,2,5
47,3,5
47,4,1
47,5,4
48,1,3
48,2,5
48,3,5
48,4,1
48,5,2
49,1,2
49,2,5
49,3,1
49,4,5
49,5,1
50,1,4
50,2,5
50,3,2
50,4,5
50,5,1
51,1,4
51,2,5
51,3,4
51,4,2
51,5,3
52,1,4
52,2,5
52,3,3
52,4,5
52,5,4
53,1,3
53,2,2
53,3,4
53,4,2
53,5,5
54,1,2
54,2,5
54,3,4
54,4,2
54,5,4
55,1,5
55,2,5
55,3,1
55,4,5
55,5,5
56,1,5
56,2,5
56,3,3
56,4,5
56,5,3
57,1,2
57,2,2
57,3,5
57,4,2
57,5,3
58,1,2
58,2,2
58,3,4
58,4,2
58,5,5
59,1,2
59,2,2
59,3,4
59,4,3
59,5,4
60,1,3
60,2,2
60,3,5
60,4,3
60,5,4
61,1,2
61,2,4
61,3,3
61,4,3
61,5,5
62,1,3
62,2,4
62,3,5
62,4,2
62,5,4
63,1,3
63,2,4
63,3,5
63,4,3
63,5,4
64,1,5
64,2,5
64,3,3
64,4,5
64,5,1
65,1,2
65,2,4
65,3,2
65,4,2
65,5,5
66,1,4
66,2,5
66,3,4
66,4,3
66,5,3
67,1,4
67,2,3
67,3,4
67,4,4
67,5,4
68,1,4
68,2,5
68,3,3
68,4,5
68,5,2
69,1,2
69,2,5
69,3,5
69,4,2
69,5,4
70,1,3
70,2,1
70,3,4
70,4,2
70,5,4
71,1,2
71,2,4
71,3,5
71,4,4
71,5,5
72,1,3
72,2,2
72,3,5
72,4,1
72,5,2
73,1,2
73,2,4
73,3,3
73,4,3
73,5,4
74,1,2
74,2,4
74,3,2
74,4,4
74,5,4
75,1,1
75,2,3
75,3,3
75,4,2
75,5,5
76,1,4
76,2,5
76,3,2
76,4,1
76,5,5
77,1,3
77,2,4
77,3,2
77,4,5
77,5,2
78,1,2
78,2,5
78,3,2
78,4,4
78,5,5
79,1,3
79,2,5
79,3,2
79,4,2
79,5,5
80,1,3
80,2,1
80,3,5
80,4,1
80,5,3
81,1,2
81,2,3
81,3,4
81,4,2
81,5,5
82,1,4
82,2,4
82,3,5
82,4,3
82,5,4
83,1,2
83,2,4
83,3,4
83,4,2
83,5,4
84,1,4
84,2,5
84,3,3
84,4,2
84,5,4
85,1,4
85,2,4
85,3,5
85,4,2
85,5,5
86,1,4
86,2,4
86,3,5
86,4,2
86,5,5
87,1,3
87,2,4
87,3,5
87,4,2
87,5,4
88,1,3
88,2,2
88,3,5
88,4,2
88,5,3
89,1,3
89,2,5
89,3,2
89,4,2
89,5,2
90,1,3
90,2,5
90,3,2
90,4,5
90,5,4
91,1,2
91,2,2
91,3,4
91,4,4
91,5,5
92,1,5
92,2,4
92,3,1
92,4,3
92,5,2
93,1,4
93,2,2
93,3,4
93,4,2
93,5,5
94,1,2
94,2,2
94,3,2
94,4,1
94,5,1
95,1,2
95,2,5
95,3,3
95,4,2
95,5,4
96,1,4
96,2,5
96,3,1
96,4,5
96,5,3
97,1,5
97,2,4
97,3,1
97,4,5
97,5,4
98,1,4
98,2,4
98,3,3
98,4,4
98,5,5
99,1,2
99,2,4
99,3,3
99,4,2
99,5,5
100,1,2
100,2,5
100,3,3
100,4,4
100,5,2
101,1,3
101,2,3
101,3,4
101,4,2
101,5,5
102,1,4
102,2,5
102,3,2
102,4,3
102,5,4
103,1,2
103,2,2
103,3,4
103,4,2
103,5,4
104,1,4
104,2,2
104,3,4
104,4,4
104,5,4
105,1,4
105,2,5
105,3,4
105,4,4
105,5,5
106,1,2
106,2,4
106,3,4
106,4,2
106,5,5
107,1,2
107,2,5
107,3,3
107,4,2
107,5,4
108,1,2
108,2,3
108,3,5
108,4,2
108,5,3
109,1,4
109,2,5
109,3,2
109,4,4
109,5,2
110,1,4
110,2,4
110,3,4
110,4,3
110,5,5
111,1,3
111,2,5
111,3,4
111,4,5
111,5,2
112,1,1
112,2,2
112,3,5
112,4,1
112,5,5
113,1,4
113,2,4
113,3,5
113,4,3
113,5,4
114,1,1
114,2,5
114,3,2
114,4,5
114,5,1
115,1,2
115,2,2
115,3,4
115,4,4
115,5,5
116,1,3
116,2,5
116,3,1
116,4,4
116,5,4
117,1,3
117,2,5
117,3,5
117,4,4
117,5,2
118,1,1
118,2,3
118,3,4
118,4,1
118,5,3
119,1,4
119,2,5
119,3,1
119,4,5
119,5,4
120,1,3
120,2,5
120,3,5
120,4,3
120,5,5
121,1,2
121,2,2
121,3,4
121,4,1
121,5,4
122,1,4
122,2,4
122,3,4
122,4,2
122,5,4
123,1,2
123,2,5
123,3,5
123,4,4
123,5,3
124,1,4
124,2,5
124,3,1
124,4,4
124,5,2
125,1,4
125,2,2
125,3,3
125,4,2
125,5,5
126,1,3
126,2,4
126,3,2
126,4,3
126,5,4
127,1,4
127,2,3
127,3,4
127,4,2
127,5,4
128,1,3
128,2,4
128,3,2
128,4,4
128,5,4
129,1,2
129,2,4
129,3,4
129,4,4
129,5,5
130,1,2
130,2,2
130,3,5
130,4,1
130,5,3
131,1,1
131,2,1
131,3,5
131,4,2
131,5,5
132,1,3
132,2,4
132,3,5
132,4,1
132,5,4
133,1,2
133,2,3
133,3,5
133,4,2
133,5,4
134,1,1
134,2,5
134,3,2
134,4,4
134,5,3
135,1,4
135,2,5
135,3,1
135,4,5
135,5,1
136,1,2
136,2,2
136,3,5
136,4,2
136,5,4
137,1,2
137,2,3
137,3,4
137,4,2
137,5,5
138,1,5
138,2,1
138,3,5
138,4,3
138,5,2
139,1,2
139,2,3
139,3,4
139,4,2
139,5,5
140,1,2
140,2,3
